user_id	talk_id	view_time
1	10474	07/27/2016 12:27:35
1	10488	08/05/2016 12:34:01
1	10506	08/07/2016 15:55:57
1	10446	08/07/2016 15:58:09
1	10506	08/07/2016 16:06:26
1	10446	08/08/2016 18:18:46
1	10446	08/09/2016 10:38:38
1	10446	08/09/2016 10:39:33
1	10446	08/09/2016 16:33:56
1	10507	08/10/2016 11:21:20
1	10447	08/14/2016 23:05:41
1	10447	08/14/2016 23:08:25
1	10518	08/15/2016 14:37:42
1	10509	08/15/2016 14:42:33
1	10491	08/15/2016 19:44:30
1	10491	08/15/2016 19:45:21
1	10491	08/18/2016 16:23:07
1	10491	08/18/2016 17:27:26
1	10491	08/18/2016 17:27:31
1	10491	08/18/2016 17:32:59
1	10491	08/18/2016 17:33:06
1	10491	08/18/2016 17:33:16
1	10491	08/19/2016 11:41:59
1	10522	08/20/2016 18:20:11
1	10523	08/20/2016 18:20:22
1	10466	08/20/2016 18:21:22
1	10522	08/24/2016 15:08:35
1	10522	08/30/2016 11:25:47
1	10547	08/30/2016 14:04:59
1	10558	09/02/2016 11:29:36
1	10547	09/05/2016 16:07:33
1	10581	09/07/2016 02:00:24
1	10590	09/07/2016 11:54:06
1	10590	09/07/2016 11:55:00
1	10599	09/08/2016 12:44:59
1	10626	09/12/2016 14:04:09
1	10554	09/12/2016 14:13:12
1	10554	09/12/2016 14:13:42
1	10507	09/12/2016 17:04:45
1	10581	09/13/2016 11:31:43
1	10603	09/15/2016 00:32:12
1	10636	09/15/2016 00:47:33
1	10458	09/16/2016 12:03:00
1	10635	09/17/2016 17:34:01
1	10657	09/18/2016 09:08:13
1	10657	09/18/2016 17:18:01
1	10657	09/18/2016 17:18:47
1	10492	09/20/2016 14:13:20
1	10492	09/20/2016 17:33:41
1	10635	09/20/2016 19:26:16
1	10665	09/20/2016 21:01:24
1	10645	09/21/2016 16:05:00
1	10613	09/21/2016 23:01:55
1	10645	09/22/2016 01:15:53
1	10665	09/22/2016 01:16:13
1	10636	09/22/2016 11:07:16
1	10665	09/22/2016 11:07:24
1	10613	09/22/2016 11:24:20
1	10676	09/22/2016 12:02:20
1	10665	09/22/2016 17:39:42
1	10626	09/22/2016 17:40:42
1	10665	09/22/2016 17:43:47
1	10651	09/22/2016 18:12:01
1	10636	09/22/2016 18:12:30
1	10665	09/22/2016 18:39:06
1	10636	09/22/2016 18:43:14
1	10620	09/22/2016 19:02:13
1	10681	09/23/2016 00:57:08
1	10681	09/23/2016 01:00:43
1	10607	09/23/2016 11:21:46
1	10641	09/23/2016 13:51:27
1	10651	09/23/2016 13:52:45
1	10626	09/23/2016 16:12:54
1	10627	09/24/2016 19:43:39
1	10572	09/24/2016 19:56:26
1	10627	09/24/2016 19:58:40
1	10695	09/25/2016 11:37:09
1	10695	09/25/2016 12:32:57
1	10680	09/25/2016 16:28:56
1	10680	09/25/2016 16:31:32
1	10504	09/25/2016 22:37:20
1	10700	09/26/2016 11:12:13
1	10700	09/26/2016 11:20:23
1	10700	09/26/2016 11:23:14
1	10700	09/26/2016 11:40:59
1	10701	09/26/2016 15:26:43
1	10701	09/26/2016 15:28:49
1	10701	09/26/2016 15:30:52
1	10701	09/26/2016 15:30:56
1	10701	09/26/2016 16:25:33
1	10572	09/27/2016 16:27:33
1	10572	09/27/2016 16:28:32
1	10572	09/27/2016 16:32:04
1	10708	09/27/2016 16:44:50
1	10708	09/27/2016 16:47:57
1	10709	09/27/2016 17:04:34
1	10709	09/27/2016 17:07:35
1	10709	09/27/2016 17:09:01
1	10661	09/28/2016 11:53:40
1	10708	09/28/2016 11:57:30
1	10723	09/28/2016 12:30:53
1	10723	09/28/2016 12:41:11
1	10616	09/29/2016 16:08:49
1	10620	09/29/2016 16:09:48
1	10591	09/29/2016 16:10:12
1	10616	09/29/2016 17:21:27
1	10718	09/29/2016 18:36:50
1	10583	09/29/2016 18:40:26
1	10620	09/29/2016 18:49:57
1	10724	09/30/2016 09:41:25
1	10620	09/30/2016 12:07:42
1	10687	10/12/2016 11:01:40
1	10895	10/17/2016 12:13:41
1	10895	10/17/2016 12:21:15
1	10895	10/17/2016 12:22:27
1	10896	10/17/2016 12:24:12
1	10897	10/17/2016 12:35:53
1	10795	10/17/2016 12:36:43
1	10895	10/17/2016 12:47:44
1	10895	10/17/2016 12:47:59
1	10896	10/17/2016 13:13:29
1	10897	10/17/2016 13:16:13
1	10795	10/17/2016 13:17:04
1	10795	10/17/2016 13:17:42
1	10619	11/04/2016 11:02:44
1	10570	11/04/2016 11:02:51
2	10475	07/28/2016 12:17:13
2	10476	07/28/2016 12:19:18
2	10477	07/28/2016 17:06:28
2	10458	07/30/2016 22:49:43
2	10480	08/01/2016 12:18:16
2	10484	08/01/2016 12:24:02
2	10488	08/04/2016 09:31:47
2	10488	08/04/2016 10:04:06
2	10488	08/05/2016 12:22:51
2	10488	08/05/2016 12:24:47
2	10477	08/10/2016 10:04:41
2	10508	08/10/2016 21:40:50
2	10516	08/14/2016 11:10:19
2	10516	08/14/2016 16:58:51
2	10517	08/14/2016 17:02:08
2	10491	08/14/2016 17:10:39
2	10491	08/14/2016 17:11:22
2	10459	08/20/2016 00:18:11
2	10459	08/20/2016 00:22:17
2	10521	08/20/2016 00:24:10
2	10521	08/20/2016 00:25:35
2	10521	08/20/2016 00:25:35
2	10521	08/20/2016 00:26:30
2	10522	08/20/2016 09:54:13
2	10523	08/20/2016 09:56:29
2	10523	08/20/2016 09:56:29
2	10522	08/20/2016 09:57:00
2	10524	08/20/2016 11:03:35
2	10524	08/20/2016 11:03:36
2	10474	08/20/2016 11:42:14
2	10465	08/20/2016 11:42:40
2	10465	08/20/2016 11:43:29
2	10520	08/20/2016 11:44:27
2	10520	08/20/2016 11:44:38
2	10466	08/20/2016 11:45:10
2	10522	08/24/2016 13:53:11
2	10522	08/24/2016 13:53:43
2	10505	08/24/2016 13:57:46
2	10525	08/25/2016 13:21:10
2	10513	08/28/2016 16:22:11
2	10534	08/29/2016 11:10:29
2	10528	08/29/2016 11:45:47
2	10528	08/29/2016 11:48:04
2	10528	08/29/2016 11:48:04
2	10528	08/29/2016 11:48:45
2	10546	08/30/2016 15:41:19
2	10528	08/31/2016 13:18:21
2	10465	09/01/2016 10:20:17
2	10507	09/01/2016 10:25:18
2	10466	09/01/2016 11:25:55
2	10466	09/01/2016 11:26:33
2	10552	09/01/2016 23:09:01
2	10552	09/01/2016 23:12:52
2	10527	09/01/2016 23:16:24
2	10546	09/02/2016 10:44:48
2	10527	09/02/2016 10:57:58
2	10527	09/02/2016 11:01:01
2	10562	09/02/2016 11:28:00
2	10562	09/02/2016 11:32:41
2	10558	09/02/2016 11:33:49
2	10558	09/02/2016 11:34:17
2	10558	09/02/2016 11:35:15
2	10565	09/02/2016 11:35:41
2	10565	09/02/2016 11:36:36
2	10564	09/02/2016 11:40:48
2	10564	09/02/2016 11:42:25
2	10570	09/04/2016 17:04:13
2	10558	09/04/2016 21:13:37
2	10567	09/04/2016 21:13:59
2	10541	09/05/2016 14:42:19
2	10585	09/06/2016 22:50:34
2	10585	09/06/2016 22:50:52
2	10581	09/06/2016 22:51:55
2	10581	09/06/2016 22:52:58
2	10581	09/06/2016 22:53:28
2	10527	09/06/2016 22:58:12
2	10527	09/06/2016 22:58:49
2	10569	09/07/2016 09:26:06
2	10558	09/07/2016 13:43:52
2	10505	09/07/2016 13:50:21
2	10574	09/07/2016 13:50:32
2	10597	09/07/2016 21:07:41
2	10602	09/08/2016 17:55:32
2	10601	09/08/2016 17:56:06
2	10567	09/08/2016 17:56:36
2	10567	09/08/2016 17:58:49
2	10603	09/08/2016 17:59:23
2	10603	09/08/2016 18:02:47
2	10589	09/08/2016 20:44:30
2	10589	09/08/2016 20:45:00
2	10600	09/08/2016 20:46:10
2	10600	09/08/2016 20:46:43
2	10554	09/08/2016 20:47:19
2	10601	09/08/2016 20:47:35
2	10580	09/08/2016 20:48:36
2	10572	09/08/2016 20:49:22
2	10607	09/08/2016 22:20:26
2	10564	09/08/2016 23:15:03
2	10604	09/09/2016 18:43:46
2	10613	09/09/2016 18:47:42
2	10620	09/12/2016 12:39:24
2	10620	09/12/2016 12:40:10
2	10619	09/12/2016 12:41:18
2	10578	09/12/2016 12:47:07
2	10625	09/12/2016 16:43:09
2	10621	09/12/2016 17:16:55
2	10621	09/12/2016 17:17:30
2	10621	09/12/2016 17:17:34
2	10625	09/12/2016 17:28:33
2	10583	09/12/2016 17:29:57
2	10583	09/12/2016 17:30:34
2	10617	09/13/2016 11:00:00
2	10615	09/13/2016 11:00:38
2	10641	09/15/2016 09:56:56
2	10554	09/15/2016 09:58:49
2	10637	09/15/2016 15:50:49
2	10636	09/15/2016 15:59:47
2	10646	09/16/2016 11:16:21
2	10612	09/16/2016 15:28:10
2	10649	09/16/2016 17:05:39
2	10649	09/16/2016 17:07:46
2	10651	09/17/2016 11:21:09
2	10636	09/17/2016 11:21:34
2	10634	09/17/2016 11:28:31
2	10634	09/19/2016 11:51:53
2	10665	09/20/2016 11:18:55
2	10648	09/20/2016 11:20:31
2	10666	09/20/2016 12:08:07
2	10666	09/20/2016 12:08:46
2	10605	09/20/2016 12:23:25
2	10572	09/20/2016 12:25:13
2	10639	09/20/2016 12:25:37
2	10639	09/20/2016 12:30:51
2	10665	09/20/2016 15:56:02
